Frequency (MHz),Channel 1 Voltages (V),Channel 2 Voltages (V),RF Input Power (dBm),RF Output Power (dBm),Gain,Channel 1 DC Power (W),Channel 2 DC Power (W),Total DC Drain Power (W),Total DC Gate Power (W),DE (%),PAE (%)
3000,12,3,-25.85282379,9.56205097299578,35.4148747629958,11.50903894755,0,11.50903894755,0,0.0785535899818091,0.0785310123409096
3000,12,3,-24.85282379,10.6778499231911,35.5306737131911,11.50903894755,0,11.50903894755,0,0.101565434916829,0.101537011350962
3000,12,3,-23.85282379,11.6656047449684,35.5184285349684,11.51687512386,0,11.51687512386,0,0.12741654264417,0.127380783841955
3000,12,3,-22.85282379,12.6024028406716,35.4552266306716,11.51687512386,0,11.51687512386,0,0.158090446557765,0.158045428892961
3000,12,3,-21.85282379,13.6189014063454,35.4717251963454,11.51687512386,0,11.51687512386,0,0.1997815980752,0.199724924192999
3000,12,3,-20.85282379,14.5439406977272,35.3967644877272,11.52471130017,0,11.52471130017,0,0.24703814346608,0.246966843788477
3000,12,3,-19.85282379,15.6362201319313,35.4890439219313,11.53254747648,0,11.53254747648,0,0.317465665220509,0.317375965235629
3000,12,3,-18.85282379,16.6305076227761,35.4833314127761,11.53254747648,0,11.53254747648,0,0.399140237234689,0.399027311644286
3000,12,3,-17.85282379,17.614342843113,35.467166633113,11.548218629073,0,11.548218629073,0,0.499941612952252,0.499799640977322
3000,12,3,-16.85282379,18.5824996576882,35.4353234476882,11.55605600541,0,11.55605600541,0,0.624367556116618,0.624188945206659
3000,12,3,-15.85282379,19.626435433445,35.479259223445,11.571727158003,0,11.571727158003,0,0.792949187026281,0.792724633729345
3000,12,3,-14.85282379,20.6011249170876,35.4539487070876,11.587399510623,0,11.587399510623,0,0.991120618308461,0.990838304812418
3000,12,3,-13.85282379,21.5849601374245,35.4377839274245,11.603071863243,0,11.603071863243,0,1.24143227394861,1.2410773423714
3000,12,3,-12.85282379,22.5439693079567,35.3967930979567,11.634416568483,0,11.634416568483,0,1.54401786568157,1.54357223712696
3000,12,3,-11.85282379,23.5852939234352,35.4381177134352,11.673596250006,0,11.673596250006,0,1.95580127034699,1.955242140144
3000,12,3,-10.85282379,24.5325442896462,35.3853680796462,11.712778331583,0,11.712778331583,0,2.42434545755,2.42364390905578
3000,12,3,-9.85282379,25.5320579157448,35.3848817057448,11.759794189416,0,11.759794189416,0,3.03952745412639,3.038647787937
3000,12,3,-8.85282379,26.4949885950661,35.3478123850661,11.830319776206,0,11.830319776206,0,3.77139808005332,3.77029724782117
3000,12,3,-7.85282379,27.5559112177468,35.4087350077468,11.916516515589,0,11.916516515589,0,4.78015305606959,4.77877721489692
3000,12,3,-6.85282379,28.4927093134499,35.3455331034499,12.02622658401,0,12.02622658401,0,5.87680863726129,5.87509235687671
3000,12,3,-5.85282379,29.4961425409889,35.348966330989,12.15944158128,0,12.15944158128,0,7.32319542130347,7.32105842391983
3000,12,3,-4.85282379,30.3832933054543,35.2361170954543,12.33182545983,0,12.33182545983,0,8.85731237251055,8.85465965959586
3000,12,3,-3.85282379,31.3449164972878,35.1977402872878,12.59041927806,0,12.59041927806,0,10.825587054893,10.8223160783624
3000,12,3,-2.85282379,32.2372924433327,35.0901162333327,12.92737485939,0,12.92737485939,0,12.948483328569,12.9444727476927
3000,12,3,-1.85282379,33.081326638279,34.934150428279,13.37403690906,0,13.37403690906,0,15.2009295561552,15.1960491596935
3000,12,3,-0.852823790000001,33.8051578150368,34.6579816050368,13.85986784001,0,13.85986784001,0,17.3283292958692,17.3224006087442
3000,12,3,0.147176209999999,34.5120030985451,34.3648268885451,14.43974488695,0,14.43974488695,0,19.5722515759285,19.5650875343033
3000,12,3,1.14717621,35.0489961252785,33.9018199152785,15.0274581102,0,15.0274581102,0,21.2820807408517,21.2734144732561
3000,12,3,2.14717621,35.3416644678688,33.1944882578688,15.44276345436,0,15.44276345436,0,22.1534529725687,22.1428361978538
3000,12,3,3.14717621,35.5102101908303,32.3630339808303,15.70135727259,0,15.70135727259,0,22.6508144956191,22.6376688952559
3000,12,3,4.14717621,35.6225740061379,31.4753977961379,15.92077020927,0,15.92077020927,0,22.9241544888468,22.9078332339678
3000,12,3,5.14717621,35.7061931238747,30.5590169138747,16.13234696964,0,16.13234696964,0,23.0633164667405,23.0430387026182
3000,12,3,6.14717621,35.7244845972634,29.5773083872634,16.27339814322,0,16.27339814322,0,22.9599115017478,22.9346045771543
3000,12,3,7.14717621,35.7218715296364,28.5746953196364,16.29690667215,0,16.29690667215,0,22.9130010228175,22.8811874501963
3000,12,3,8.14717621,35.7140323267556,27.5668561167556,16.40661314049,0,16.40661314049,0,22.7187427999117,22.6789596942513
3000,12,3,9.14717621,35.7061931238747,26.5590169138747,16.53199196145,0,16.53199196145,0,22.5057829921323,22.4560788668168
4000,12,3,-30.98558217,4.27616217439528,35.2617443443953,11.51687512386,0,11.51687512386,0,0.0232424314946296,0.0232355114782067
4000,12,3,-29.98558217,5.38020041292067,35.3657825829207,11.52471130017,0,11.52471130017,0,0.0299495282776062,0.0299408224166207
4000,12,3,-28.98558217,6.44242956941481,35.4280117394148,11.53254747648,0,11.53254747648,0,0.038222378233197,0.0382114256507307
4000,12,3,-27.98558217,7.37400152986403,35.359583699864,11.53254747648,0,11.53254747648,0,0.0473668933732908,0.0473531048888991
4000,12,3,-26.98558217,8.27875235383864,35.2643345238386,11.54038365279,0,11.54038365279,0,0.0582981788811674,0.0582808319947006
4000,12,3,-25.98558217,9.27634527986403,35.261927449864,11.54038365279,0,11.54038365279,0,0.0733523920766921,0.0733305536405035
4000,12,3,-24.98558217,10.3679323465144,35.3535145165144,11.54038365279,0,11.54038365279,0,0.0943133101556298,0.0942858171933582
4000,12,3,-23.98558217,11.3903475076472,35.3759296776472,11.548218629073,0,11.548218629073,0,0.119266851204637,0.119232263098282
4000,12,3,-22.98558217,12.3702631265437,35.3558452965437,11.548218629073,0,11.548218629073,0,0.149455298185131,0.149411754339095
4000,12,3,-21.98558217,13.2939977914607,35.2795799614607,11.55605600541,0,11.55605600541,0,0.184752422314373,0.184697641038227
4000,12,3,-20.98558217,14.3091898233211,35.2947719933211,11.55605600541,0,11.55605600541,0,0.233404564206808,0.233335598666178
4000,12,3,-19.98558217,15.3792562753474,35.3648384453474,11.563890981693,0,11.563890981693,0,0.298415679849243,0.298328916203135
4000,12,3,-18.98558217,16.3173628122127,35.3029449822127,11.579563334313,0,11.579563334313,0,0.369865734481007,0.369756653357965
4000,12,3,-17.98558217,17.307730701617,35.293312871617,11.587399510623,0,11.587399510623,0,0.464287604766976,0.464150372637602
4000,12,3,-16.98558217,18.3281488687312,35.3137310387312,11.595235686933,0,11.595235686933,0,0.586861076940628,0.58668842868197
4000,12,3,-15.98558217,19.3433409005916,35.3289230705916,11.618744215863,0,11.618744215863,0,0.739903189003494,0.739686277496268
4000,12,3,-14.98558217,20.3180303842341,35.3036125542341,11.634416568483,0,11.634416568483,0,0.924822588764702,0.924549881207345
4000,12,3,-13.98558217,21.3136244088924,35.2992065788924,11.665761273723,0,11.665761273723,0,1.15997694099081,1.15963454497843
4000,12,3,-12.98558217,22.3183641702449,35.3039463402449,11.697105978963,0,11.697105978963,0,1.4580015721325,1.457571676178
4000,12,3,-11.98558217,23.3113451272761,35.2969272972761,11.736285660486,0,11.736285660486,0,1.82643340236044,1.82589400215027
4000,12,3,-10.98558217,24.2847280771052,35.2703102471052,11.791138894656,0,11.791138894656,0,2.27466294307925,2.27398703750551
4000,12,3,-9.98558217,25.2541914254939,35.2397735954939,11.845992128826,0,11.845992128826,0,2.83039926517854,2.82955229066271
4000,12,3,-8.98558217,26.2249594003474,35.2105415703474,11.924352691899,0,11.924352691899,0,3.51609926316208,3.51503999243648
